Link,Month-Year,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,2025/02,02/19/2025 01:53,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Triangle,"Big and black ""cross shaped"" object that turned into a triangle with 3 lights",Y,,
Open,2025/02,02/18/2025 22:20,Dargaville,Northland,New Zealand,Fireball,Appear to be following satellites then coming down to cloud level and travelling along the horizon. Often moving in curricular patterns,,,
Open,2025/02,02/18/2025 22:00,Des Moines,IA,USA,Other,"Military activity. Helicopters first, Snoop36 tonight.",Y,Aircraft,
Open,2025/02,02/18/2025 19:20,Milford,NH,USA,Star,Saw a slow drifting line of white distant star looking lights that drifted slowly upward towards a bigger star and disappeared,Y,Starlink,
Open,2025/02,02/18/2025 19:16,Olympia,WA,USA,Cross,Flashing object moving strange,,Drone,
Open,2025/02,02/18/2025 17:40,Myrtle Beach,SC,USA,Light,"Large, bright white light above the ocean to the left",,,
Open,2025/02,02/18/2025 15:00,Abingdon,VA,USA,Changing,I saw a white orb flickering and staying in one place in the tree line when driving on 81 south. Orb turned into craft,,,
Open,2025/02,02/18/2025 06:25,Peace River,AB,Canada,Sphere,Oddity that is not a plane or satellite and captured video,Y,,
Open,2025/02,02/18/2025 06:07,Norcross,GA,USA,Light,Bright blue light moved through the night sky within a split second.,,Meteor?,
Open,2025/02,02/18/2025 00:04,Royal Leamington Spa,England,United Kingdom,Cube,Me and my partner seen what looked like a blue star and decided to zoom in and take video and we saw what looked like drone with turret,Y,Drone?,
Open,2025/02,02/17/2025 22:25,Loudon,TN,USA,Formation,V shaped faint white lights moving fast like a comet in south west location over head,,,
Open,2025/02,02/17/2025 22:15,Yoshkar-Ola,Respublika Mariy El,Russia,Rectangle,"Something was hanging in the air, glowing rings revolving around it. Then it turned around and flew away towards the east.",Y,,
Open,2025/02,02/17/2025 22:15,Clearfield,PA,USA,Triangle,My husband seen it moving and told me to look it was pretty visible but as soon as my camera finally turned on it was gone went north,,,
Open,2025/02,02/17/2025 21:55,New Albany,IN,USA,Circle,"I’m a FAA 107 drone pilot. Bright light darted back and forth in Class C airspace, no nav lights, rapid reversals.",,,
Open,2025/02,02/17/2025 21:30,Roswell,GA,USA,Triangle,"While driving, black triangle seen low, green and red lights, one white light in middle",,Drone?,
Open,2025/02,02/17/2025 21:00,Red Bluff,CA,USA,Light,"High up in the western sky is where we saw 4-5 tiny lights moving around, coming and going. Brite, then dim, then disappear.",Y,Starlink (Racetrack)?,
Open,2025/02,02/17/2025 20:56,,,Unspecified,Unknown,"2 craft hovering over San Clemente island... Strange shape. Imagine a black violin case, with two silver triangles on each side.",Y,,
Open,2025/02,02/17/2025 20:50,Starkville,CO,USA,Triangle,Black triangle with lights spotted off mountain pass on Rt 25 coming out of Colorado,,,
Open,2025/02,02/17/2025 20:15,Cancún,Quintana Roo,Mexico,Light,“Satellite” did a 180 turn in the sky within 1 second,,,
Open,2025/02,02/17/2025 19:00,Tallmadge,OH,USA,Triangle,Bright triangle shaped craft hovering lights got brighter and dimmed.,,,
Open,2025/02,02/16/2025 21:00,Mission,TX,USA,Orb,Orbs going in different directions not following one another at different periods of times,,,
Open,2025/02,02/16/2025 18:20,Folsom,CA,USA,Other,"Imperfect rectangle, possibly vertically long pentagram moving spotted above old folsom",,,
Open,2025/02,02/16/2025 13:04,Alicante (Alacant),Comunidad Valenciana,Spain,Circle,"One small circle object, steady without moving in the sky, appearing and dissappearing using light, then 3 other obj. flew towards it",Y,,
Open,2025/02,02/16/2025 02:20,Chickasaw,AL,USA,Light,Hundreds of thinner lights that were blue and white. Like Christmas lights blinking and flashing over and over again.,,,
Open,2025/02,02/15/2025 23:56,Denver,CO,USA,Other,I was filming the planets and for my friend when I noticed it. I immediately stopped and started filming it. It was absolutely silent.,Y,Birds?,
Open,2025/02,02/15/2025 21:00,Paducah,KY,USA,Orb,Overcast rainy night star,,,
Open,2025/02,02/15/2025 20:00,Nassau,New Providence,The Bahamas,Oval,I was walking to the pizza place at Atlantis and a spotted a purple colored object in the sky,Y,,
Open,2025/02,02/15/2025 12:52,Bellevue,WA,USA,Changing,"I saw a white disc hovering at about 1500 ft above Crossroads Mall in bellevue, Thought it was a hoax drone or something, it was a ufo",,,
Open,2025/02,02/14/2025 22:43,Aguanga,CA,USA,Unknown,I watched what I thought was a drone fly close to me within 15 ft above and then realized it was an angler fish looking drone,,Drone?,
Open,2025/02,02/14/2025 21:47,Modesto,CA,USA,Orb,Orb kept on moving then it dissapeared and while it was occurring my phone was very static,Y,,
Open,2025/02,02/14/2025 20:30,Beni Bahdel,Tlemcen Province,Algeria,Orb,"Bright flashing orbs of light seen on a mountain, appearing and disappearing in patterns, sometimes in groups of 5-7.",,,
Open,2025/02,02/14/2025 20:30,Augusta,GA,USA,Fireball,We were watching a very bright Star and noticed it appear and disappear repeatedly,Y,Planet/Star?,
Open,2025/02,02/14/2025 20:00,Beulah Valley,CO,USA,Circle,5 little orbs/lights in the shape of a circle,,,
